Arrangement,LIST OF FILIPINIANA BOOKS,,,,,,,,,
Order,COURSES,TITLE,AUTHOR, Publisher,EDITION,COPIES,ISBN,Warehouse,Call Number,REMARKS
ROW NO.,MAJOR COURSES:,,,,,,,,,
,Computer and Information ,,,,,,,,,
,Technology,Introduction to information technology & Computer Fundamentals,"Jerelyn S. Besueña, LPT",Unlimited books,2023,1,978-621-427-128-3,,6111,
1,,Introduction to computer programming with JAVA,"Jake R. Pomperada, MAEd-IT, MIT",Unlimited books,2022,3,978-621-427-119-1,,"6113, 6114, 6115",1 copy mrs. Sabarre bookshelves
,,Introduction to SCALA Programming,"Jake R. Pomperada, MAEd-IT, MIT",Unlimited books,2022,3,978-621-427-120-7,,"611,961,206,121",1 copy mrs. Sabarre bookshelves
,,Introduction to GO Programming,"Jake R. Pomperada, MAEd-IT, MIT",Unlimited books,2022,3,978-621-427-098-9,,"6101, 6102, 6103",1 copy mrs. Sabarre bookshelves
,,Information Assurance and Security 1&2,"Marmelo Abante, PhD-IT,","Mindshapers  Co., Inc.",2022,4,978-971-9655-03-9,,"6037, 6038, 6039, no call number","no call number ,1 copy mrs. Sabarre bookshelves"
,,Angular JS Programming for Beginner's,"Jake R. Pomperada, MaEd-IT, MIT",Unlimited books,2022,3,"978-621-427-106-1


",,"6123,6122, 6124",1 copy mrs. Sabarre bookshelves
,,Introduction to PERL Programming,"Jake R. Pomperada, MAEd-IT, MIT",Unlimited books,2021,3,978-621-427-077-4,,"6104, 6105, 6106",1 copy mrs. Sabarre bookshelves
,,Web Programming Using PHP & MySQL,"Jake R. Pomperada, MAEd-IT, MIT",Unlimited books,2021,1,"978-621-427-081-1


",,"6107,6108, 6109",1 copy mrs. Sabarre bookshelves
,,Essentials of Human Computer Interactions,"Dan Michael A. Cortez,",Unlimited books,2021,2,"978-621-427-084-2


",,"6033, 6032",
,,Introduction to JQuery Programming,"Jake R. Pomperada, MaEd-IT, MIT",Unlimited books,2021,3,"978-621-427-094-1


",,"6126, 6125, 6127",1 copy mrs. Sabarre bookshelves
,,"Science, Technology and Society: A Course Module","Alata, Eden Joy P.",Rex Book Store,2021,2,978-621-04-2945-9,,"6015, 6016",
,, Creative design CC,Jemma Dev't Group,Jemma Inc.,2020,1,978-971-37-0485-6,,5633,
,,"Science, Technology and Society: A Rudimentary Approach","Magalona, Ethel","Mindshapers  Co., Inc.",2020,3,978-621-406-301-7,,6317,Mrs. Sabarre Bookshelves
,,Fundamentals of Python Programming,"Jake R. Pomperada, MaEd-IT, MIT","Mindshapers  Co., Inc.",2019,3,978-621-406-231-7,,"6040, 60416042",Mrs. Sabarre Bookshelves
,,Beginner’s Guide To C++ Programming,"Jake R. Pomperada, MaEd-IT, MIT","Mindshapers  Co., Inc.",2019,3,978-621-406-195-2,,"6043, 6044, 6045 ",Mrs. Sabarre Bookshelves
,,CSS And networking,"Sarmiento, Marygin E.",Unlimited Books,2019,2,978-621-427-046-0,,"5630 C.1, 5640 C.2",
,,Beginner's guide to C++  programming,Jake R. Pomperada,"Mindshapers  Co., Inc.",2019,1,978-621-406-195-2,,5632,
,,Learning computers 4th ed.,Jemma Dev't Group,Jemma Inc.,2019,1,978-971-37-0477-1,,5635,
,,Information systems funadamnetals,"Revano, Teodoro F",Mindshapers ,2019,3,978-621-406-230-0,,"5622, 5621,  5623",
