Benedicto College ,,,,,,
Foreign References ,,,,,,
"As of March 16, 2023",,,,,,
,,,,,,
AUTHOR,TITLE,COPYRIGHT ,PUBLISHER,NO. OF COPIES,,
000-099,,,,,,
"Cohen, Daniel I.A.","Introduction to Computer Theory, 2nd ed.",1997,John Wiley & Sons,1,,
"Long, Larry","Introduction to Computers & Information Processing, 2nd ed.",1988,Prentice Hall,1,,
"O’Leary, Timothy J.",Computing Essentials ,2008,McGraw-Hill ,1,,
"Stallings, William","Operating Systems: Internal and Design Principles, 7th ed.",2013,Pearson Education ,1,,
"Zwass, Vladimir",Introduction to Computer Science ,1981,Barnes & Noble Books,1,,
"Siegel, Charles",Mastering FoxPro 2.6,1993,Sybex Inc.,3,,
"Brey, Barry B.","The Intel Microprocessors, 5th ed.",2001,Pearson Education ,3,,
Deitel,"Visual Basic . Net, 2nd ed.",2002,Prentice Hall,1,,
"Elmasri, Ramez","Database Systems, 6th ed.",2011,Pearson Education ,1,,
"Farrell, Joyce","Programming Logic and Design Comprehensive, 3rd ed.",2006,Course Technology ,1,,
"Hoffer, Jeffrey A.","Modern Database Management, 7th ed.",2005,Pearson Education ,1,,
"Shelly, Gary B.",Microsoft Visual Basic 2010,2011,Cengage Learning ,1,,
"Abel, Peter","IBM PC Assembly Language and Programming, 5th ed.",2002,Pearson Education ,1,,
Deitel,"C++ How To Program, 5th ed.",2006,Pearson Education ,1,,
"Drozdek, Adam","Data Structures and Algorithms in Java, 2nd ed.",2007,Course Technology ,1,,
"Forouzan, Behrouz A.",Foundations of C Programming ,2014,Cengage Learning ,1,,
"Ritchie, Dennis M.","The C Programming Language, 2nd ed.",2012,Pearson Education ,2,,
"Malik, D.S.",Java Programming From Problem Analysis to Program Design,2012,Cengage Learning ,2,,
"Malik, D.S.","Creating Data Structures in C++, 2nd ed.",2002,Cengage Learning ,1,,
"Robbins, Judd","Mastering Dos 6.2, 2nd ed.",1994,Sybex Inc.,1,,
"Savitch, Walter","Absolute C++ Programming, 2nd ed.",2006,Pearson Education ,1,,
"Larsen, Glenn H.",Dos Quecards,1988,Que Corporation ,1,,
"Miller, Michael A.",Data and Network Communications ,2000,Delmar,1,,
"Rennie, Cindy",cc:Mail Plain & Simple,1994,Sybex Inc.,1,,
"Lammle, Todd",MCSE Test Success: Networking Essentials,1998,Sybex Inc. ,1,,
"Kendall, Kenneth E.","Systems Analysis and Design, 5th ed.",2002,Pearson Education ,3,,
"Kendall, Kenneth E.","Systems Analysis and Design, 8th ed.",2012,Pearson Education ,2,,
"Rosenblatt, Harry J.",Understanding Systems Analysis and Design,2013,Cengage Learning ,2,,
"Capron, H.L.","Computers: Tools for an Information Age, 2nd ed.",1990,The Benjamin/Cummings ,1,,
"Norton, Peter","Introduction to Computers, 2nd ed.",1997,Glencoe/McGraw-Hill,1,,
"Sawyer, Stacy C.","Using Information Technology: Brief Version, 3rd ed.",1999,McGraw-Hill ,1,,
"Williams, Brian K.",Using Information Technology ,1995,Irwin Inc.,1,,
"Johnson, Jerry","Discovering Calculus with Derive, 2nd ed.",1995,John Wiley & Sons,1,,
"Andrews, Jean","A+ Guide to Managing and Maintaining Your PC with Lab Exercises, 2nd ed.",2012,Cengage Learning ,1,,
"Parsons, June",Computer Concepts 2013-2014 Comprehensive ,2014,Cengage Learning ,1,,
"Kendall, Kenneth E.","Systems Analysis and Design, 9th ed.",2014,Pearson Education ,2,,
"Silver, Gerald A.",Systems Analysis and Design ,1989,Addison-Wesley Publishing ,3,,
"Moncrieff, Alison (ed.)","Networking Complete, 2nd ed.",2001,"Sybex, Inc.",1,,
"Halsall, Fred","Data Communications, Computer Networks and Open Systems, 4th ed.",1996,Addison-Wesley Publishing ,1,,
"Giudice, Maria",Web Design Essentials ,2000,Adobe Press,2,,
"Randall, Neil",Using HTML ,1996,Que Corporation ,3,,
"Berge, Susan (ed.)","HTML Complete, 2nd ed.",2000,Sybex Inc.,2,,
"McDorman, Dann (ed.)","Internet Complete, 2nd ed.",2000,Sybex Inc.,3,,
"Jenkins, Neil","Understanding Local Area Networks, 5th ed.",1995,Sams Publishing ,1,,
"Martin, James","Local Area Networks: Architecture and Implementations, 2nd ed.",,Prentice-Hall International ,1,,
"Parker, Timothy","Teach Yourself: TCP/IP in 14 days, 2nd ed.",1996,Sams Publishing ,1,,
"Schnaidt, Patricia ",LAN Tutorial ,1993,Miller Freeman Publications ,1,,
"Bigelow, Stephen J.",Troubleshooting Pocket Reference ,2000,McGraw-Hill ,1,,
