COURSES,TITLE,AUTHOR,ISBN,2018 - UP EDITION,,COPIES,Sub Total,Warehouse,SG Publisher
CORE COURSES:,,,,,,,,,
Understanding the Self/Pang-unawa sa Sarili,UNDERSTANDING THE SELF (L),CORPUZ,9789719811848,"1/e, c2019",PHP 375.00,5,"PHP 1,875.00",Philippines,
,UNDERSTANDING THE SELF (L),GO-MONILLA & RAMIREZ,9789719819035,"2/e, c2022",PHP 395.00,5,"PHP 1,975.00",Philippines,
,UNDERSTANDING THE SELF: AN OUTCOME-BASED WORKTEXT FOR THE NEW TERTIARY EDUCATION PROGRAM (L),LIBED,9789719813712,"1/e, c2021",PHP 345.00,5,"PHP 1,725.00",Philippines,
,UNDERSTANDING THE SELF: OUTCOMES-BASED MODULE (L),MACAYAN ET AL.,9789719820017,"2/e, c2022",PHP 595.00,5,"PHP 2,975.00",Philippines,
,,,,,,,,,
"Readings in Philippine History/Mga Babasahin hinggil sa Kasaysayan ng Pilipinas (Philippine History, Governance & Constitution Integrated)",,,,,,,,,
,READINGS IN PHILIPPINE HISTORY: OUTCOMES-BASED MODULE (L),ASUNCION,9789719818694,"2/e, c2022",PHP 595.00,5,"PHP 2,975.00",Philippines,
,BATIS: SOURCES IN PHILIPPINE HISTORY (L),TORRES,9789719818229,"2/e, c2022",PHP 495.00,5,"PHP 2,475.00",Philippines,
,,,,,,5,,,
,,,,,,5,,,
,,,,,,5,,,
The Contemporary World/Ang Kasalukuyang Daigdig,THE CONTEMPORARY WORLD: AN OUTCOME-BASED EDUCATION STANDARD (L),BRAZALOTE & LEONARDO,9789719811411,"1/e, c2019",PHP 358.00,5,"PHP 1,790.00",Philippines,
,THE CONTEMPORARY WORLD (L),CLAUDIO Y& ABINALES,9789719818328,"2/e, c2022",PHP 345.00,5,"PHP 1,725.00",Philippines,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
Mathematics in the Modern World/Matematika sa Makabagong Daigdig (Biostatistics Integrated),,,,"2/e, c2023",,,,,
,MATHEMATICS IN THE MODERN WORLD (L),BALTAZAR,9789719820031,,498,5,"PHP 2,490.00",Philippines,
,MATHEMATICS IN THE MODERN WORLD (L),CALINGASAN,9789719819097,"2/e, c2022",PHP 595.00,5,"PHP 2,975.00",Philippines,
,MATHEMATICS IN THE MODERN WORLD: OUTCOMES-BASED MODULE (L),EARNHART & ADINA,9789719818106,"2/e, c2022",PHP 595.00,5,"PHP 2,975.00",Philippines,
,MATH IN OUR WORLD (L),SOBECKI,9789813156784,"4/e, c2019",PHP 795.00,5,"PHP 3,975.00",Philippines,
,5,,,,,5,,,
Purposive Communication/Malayuning Komunikasyon (Technical Writing Integrated),,,,,,,,,
,PURPOSIVE COMMUNICATION (L),AMBIDA,9789719811022CE,"1/e, c2019",PHP 395.00,5,"PHP 1,975.00",Philippines,
,PURPOSIVE COMMUNICATION: USING MULTILINGUAL CONTEXTS (L),MADRUNIO & MARTIN,9789719818144,"2/e, c2022",PHP 495.00,5,"PHP 2,475.00",Philippines,
,COMMUNICATE (L),VERDERBER,9789814930833,"15/e, c2021",PHP 788.00,5,"PHP 3,940.00",Philippines,
,4,,,,,5,,,
,5,,,,,5,,,
Art Appreciation/Pagpapahalaga sa Sining,ART SENSE: SENSING THE ARTS IN THE EVERYDAY (L),DEVILLES ET AL.,9789719809302,"1/e, c2018",PHP 378.00,5,"PHP 1,890.00",Philippines,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
"Science, Technology and Society/Agham, Teknolohiya at Lipunan ",,,,,,,,,
,"SCIENCE, TECHNOLOGY, AND SOCIETY (L)",CASAS,9789719812104,"1/e, c2020",PHP 458.00,5,"PHP 2,290.00",Philippines,
,"SCIENCE, TECHNOLOGY AND SOCIETY (L)",MCNAMARA,9789719819349,"2/e, c2022",PHP 425.00,5,"PHP 2,125.00",Philippines,
,"SCIENCE, TECHNOLOGY AND SOCIETY: OUTCOME-BASED MODULE (COURSEWARE READY) (L)",NIEVA,9789719809357CE,"1/e, c2019",PHP 395.00,5,"PHP 1,975.00",Philippines,
,4,,,,,5,,,
,5,,,,,5,,,
Ethics/Etika,ETHICS: A MODULAR APPROACH (L),GO-MONILLA,9789719812074,"1/e, c2019",PHP 398.00,5,"PHP 1,990.00",Philippines,
,ETHICS (L),"PASCO, SUAREZ & RODRIGUEZ",9789719819615,"2/e, c2023",PHP 495.00,5,"PHP 2,475.00",Philippines,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
ELECTIVE COURSES (CHOOSE ONLY 3),,,,,,,,,
Living in the IT Era,LIVING IN THE INFORMATION TECHNOLOGY ERA (L),CAOILI-TAYUAN,9789719810674,"1/e, c2019",PHP 345.00,5,"PHP 1,725.00",Philippines,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
The Entrepreneurial Mind,"ENTREPRENEURSHIP THEORY, PROCESS & PRACTICE (L)",KURATKO,9789814839754,"10/e, c2019",PHP 698.00,5,"PHP 3,490.00",Philippines,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
Philippine Popular Culture,1,,,,,5,,,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
MANDATED COURSE,,,,,,,,,
The Life and Works of Rizal,THE LIFE AND WORKS OF RIZAL: OUTCOME-BASED MODULE (COURSEWARE READY) (L),ESPINA-CLEMENTE,9789719811435,"1/e, c2019",PHP 395.00,5,"PHP 1,975.00",Philippines,
,THE LIFE AND WORKS OF JOSE RIZAL (L),WANI-OBIAS,9789719819790,"2/e, c2022",PHP 428.00,5,"PHP 2,140.00",Philippines,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
OTHER COURSES,,,,,,,,,
"Physical Education (PATHFit 1, 2, 3, 4)",1,,,,,5,,,
,2,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
National Service Training Program (NSTP) 1 and 2,SERVICE-LEARNING AND IMMERSION TOWARDS COMMUNITY BUILDING: NSTP-CWTS 2 A WORKTEXT FOR COLLEGE STUDENTS (L),VILLASOTO,9789719816805,"3/e, c2022",PHP 395.00,5,"PHP 1,975.00",Philippines,
,HUMAN PERSON GEARING TOWARDS SOCIAL DEVELOPMENT: NSTP-CWTS 1 A WORKTEXT FOR COLLEGE STUDENTS (L),VILLASOTO,9789719817178,"3/e, c2022",PHP 398.00,5,"PHP 1,990.00",Philippines,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
,TOTAL,,,,,,,,
  ,,,,,,," 64,360.00 ",,
,,,,,,,,,
LIST OF PROFESSIONAL EDUCATION BOOKS IN NURSING,,,,,,,,,
,,,,,,,,,
COURSES,TITLE,,,2018 - UP EDITION,,COPIES,,,
MAJOR COURSES:,,,,,,,,,
"Biochemistry (3 units lecture, 2 units laboratory)",Biochemistry: A Very Short Introduction ,"Lorch, Mark ",9780198833871,5/27/2021," ₱1,318.00 ",5,"PHP 6,590.00",SG,OUP Oxford 
,Biochemistry ,"Bowater, Richard; Bowater, Laura; Husband, Tom ",9780198848394,3/17/2020," ₱2,928.00 ",5,"PHP 14,640.00",SG,OUP Oxford 
,"Biochemistry, Fourth Edition International Adaptation",Voet,9781119770640,2021," ₱10,918.00 ",5,"PHP 54,590.00",SG,John & Wiley
,"Biochemistry: An Integrative Approach, 1St Edition, International Adaptation",Tansey,9781119820802,2022," ₱10,918.00 ",5,"PHP 54,590.00",SG,John & Wiley
,Multi-Component Reactions In Molecular Diversity,Goddard,9781786305114,2020," ₱22,518.00 ",5,"PHP 112,590.00",SG,John & Wiley
Logic and Critical Thinking,Critical Thinking: A Students Introduction,Bassham,9781265204600,2023," ₱6,438.00 ",5,"PHP 32,190.00",SG,McGraw-Hill
,Using Questions to Think,Nathan Eric Dickman,9781350177710,6/3/2021," ₱2,248.00 ",5,"PHP 11,240.00",SG,Bloomsbury Academic
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
"Anatomy & Physiology (3 units lecture, 2 units lab)",Seeley's Essentials of Anatomy & Physiology + Anatomy and Physiology Laboratory Manual (Set),"Cinnamon VanPutte, Jennifer Regan, Andrew Russo; Kevin T. Pa",8888822000024,2022/11th," 3,165.00 ",5,"PHP 15,825.00",Philippines,
,Atlas of Human Anatomy with StudentConsult Access + Essential Guide for Netter's Anatomy (Set),"Frank H. Netter, John T. Hansen",8888818000243,2019," 5,888.00 ",5,"PHP 29,440.00",Philippines,
,Netter Atlas of Human Anatomy: Classic Regional Approach (Paperback + eBook),Frank H. Netter,9780323680424,2023," 6,895.00 ",5,"PHP 34,475.00",Philippines,
,"Principles of Anatomy and Physiology, Asia-Pacific Edition (comes with Interactive eTextbook)",Gerard Tortora,9780730392002,2022," 3,485.00 ",5,"PHP 17,425.00",Philippines,
,"Guyton and Hall Textbook of Medical Physiology, International Edition",Elsevier,9780323672801,2021," 6,995.00 ",5,"PHP 34,975.00",Philippines,
"Microbiology & Parasitology (3 units lec, 1 unit lab)",Introduction to Diagnostic Microbiology for the Laboratory Sciences,Maria Dannessa Delost,9781284282252,2022," 1,568.00 ",5,"PHP 7,840.00",Philippines,
,Burton's Microbiology for the Health Sciences,"Paul Engelkirk, Janet Duben-Engelkirk, Robert Fader",9781284252347,2019, 945.00 ,5,"PHP 4,725.00",Philippines,
,Microbiology: An Introduction,"Gerard J. Tortora, Berdell R. Funke, Christine L. Case, Derek Weber, Warner Bair ",9789813136830,2019," 1,698.00 ",5,"PHP 8,490.00",Philippines,
,Prescott's Microbiology (International Student Edition),Joanne Willey,9781260570021,2020," 3,038.00 ",5,"PHP 15,190.00",Philippines,
,Microbiology and Parasitology: A Textbook and Laboratory Manual for the Health Sciences,"Fe A. Bartolome, Elizabeth P. Quiles",9789719812418CE,2020, 850.00 ,5,"PHP 4,250.00",Philippines,
PROFESSIONAL COURSES,,,,,,,,,
Theoretical Foundations in Nursing,Theoretical Basis for Nursing,"Melanie McEwen, Evelyn M. Wills",9781975207342,2023," 1,048.00 ",5,"PHP 5,240.00",Philippines,
,Nursing Theorists and Their Work,Martha Raile Alligood,9789814920827,2022," 1,145.00 ",5,"PHP 5,725.00",Philippines,
,Philosophies and Theories for Advanced Nursing Practice,Butts ,9781284228823 ,2022," ₱11,598.00 ",5,"PHP 57,990.00",SG,Jones & Bartlett
,Knowledge Development in Nursing: Theory and Process 11ed,"Chinn, Peggy",9780323793001,2022," ₱10,618.00 ",5,"PHP 53,090.00",SG,Elsevier
,"Tabbner's Nursing Care: Theory and Practice, 2-Volume Set, 8e and Essential Enrolled Nursing Skills for Person-Centred Care Workbook, 2e Value Pack: Includes Elsevier Adaptive Quizzing for Tabbner's Nursing Care, 8e 1ed","Koutoukidis, Gabby",9780729544207,2021," ₱12,118.00 ",5,"PHP 60,590.00",SG,Elsevier
"Health Assessment (3 units lecture, 2 units lab)",Health & Physical Assessment in Nursing,"Donita D'Amico, Cynthia Fenske, Katherine Dolan Watkins, Tina Saunders, Colleen Barbarito ",8888821005280,," ₱2,798.00 ",5,"PHP 13,990.00",SG,Lippincott Williams & Wilkins
,Health Assessment in Nursing (IE),"Janet R. Weber, Jane H. Kelley",9781975172572,2022," 10,548.00 ",5,"PHP 52,740.00",Philippines,
,Advanced Health Assessment & Clinical Diagnosis in Primary Care:  6ed,"Dains, Joyce E.",9780323676625,2020," ₱10,728.00 ",5,"PHP 53,640.00",SG,Mosby
,Health Assessment for Nursing Practice:  7ed,"Wilson, Susan",9780323661195,2022," ₱12,338.00 ",5,"PHP 61,690.00",SG,Elsevier
,Pocket Companion for Physical Examination and Health Assessment:  8ed,"Jarvis, Carolyn",9780323532020,2020," ₱6,648.00 ",5,"PHP 33,240.00",SG,Saunders
Health Education,Nurse as Educator: Principles of Teaching and Learning for Nursing Practice,Susan B. Bastable,9781284264364,2023, 995.00 ,5,"PHP 4,975.00",Philippines,
,Principles of Health Education and Promotion,Cottrell ,9781284231250 ,2023," ₱7,308.00 ",5,"PHP 36,540.00",SG,Jones & Bartlett
,Introduction to Public Health Program Planning,Hayden ,9781284175189 ,2022," ₱8,478.00 ",5,"PHP 42,390.00",SG,Jones & Bartlett
,A History of Public Health: From Past to Present,Carney ,9781284111774 ,2023," ₱7,798.00 ",5,"PHP 38,990.00",SG,Jones & Bartlett
,Turnock's Public Health: What It Is and How It Works,Birkhead ,9781284181203 ,2022," ₱8,478.00 ",5,"PHP 42,390.00",SG,Jones & Bartlett
Fundamentals of Nursing Practice (3 units lec.2 units lab),,,,2023,,,PHP 0.00,,
,Fundamentals of Nursing + Skills Performance Checklists for Clinical Nursing Skills & Techniques (Set),"Patricia Potter, Anne Perry, Patricia Stockert, Amy Hall; Wendy Ostendorf, Nancy Laplante ",8888822007047,," 4,195.00 ",5,"PHP 20,975.00",Philippines,
,Kozier & Erb's Fundamentals of Nursing,"Audrey T Berman, Geralyn Frandsen, Shirlee Snyder",9789813137462,2021," 1,985.00 ",5,"PHP 9,925.00",Philippines,
,"Fundamentals of Nursing, North American Edition",Taylor,9781975168155,2023," ₱16,168.00 ",5,"PHP 80,840.00",SG,Lippincott Williams & Wilkins
,"Fundamentals of Nursing: Concepts and Competencies for Practice, International Edition",Craven,9781975120429,2021," ₱15,068.00 ",5,"PHP 75,340.00",SG,Lippincott Williams & Wilkins
,Fundamentals of Nursing: Active Learning for Collaborative Practice 3ed,"Yoost, Barbara",9780323834667,2023," ₱15,128.00 ",5,"PHP 75,640.00",SG,Elsevier
"Community Health Nursing 1: Individual and Family as Clients (2 units lecture, 2 units lab)",,,,2020,,,,,
,"Community and Public Health Nursing, Philippine Edition","Mary A. Nies, Melanie Mcewen, Earl Francis R Sumile (Adapting Editor) ",9789814865036,," 1,795.00 ",5,"PHP 8,975.00",Philippines,
,,,,,,5,,,
,3,,,,,5,,,
,4,,,,,5,,,
,5,,,,,5,,,
"Nutrition and Diet Therapy (2 units lec, 1 unit lab)",Basic Nutrition and Diet Therapy Textbook for Allied Health + Basic Nutrition and Diet Therapy Laboratory Manual for Allied Health (Strictly Set),Maria Lourdes Cruz-Caudal,8888819000129,2019,498,5,"PHP 2,490.00",Philippines,
,Williams' Basic Nutrition and Diet Therapy:  16ed,"Nix McIntosh, Staci",9780323749800,2021," ₱9,538.00 ",5,"PHP 47,690.00",SG,Elsevier
,Nutritional Foundations and Clinical Applications: A Nursing Approach 8ed,"Grodner, Michele",9780323810241,2023," ₱10,188.00 ",5,"PHP 50,940.00",SG,Elsevier
,4,,,,,5,,,
,5,,,,,5,,,
