,BENEDICTO COLLEGE,,,,
,Senior High School References,,,,
,"As of March 21, 2023",,,,
,,,,,
,,,,,
AUTHOR,TITLE,COPYRIGHT,PUBLISHER,NO. OF COPIES,
                                                         Business Finance,,,,,
,Business Finance: Theory and Practice,2017,Abiva Publishing ,1,
"De Guzman, Angeles A.",Business Finance,2019,Lorimar Publishing ,1,
"Aduana, Nick L.",Business Finance in the Philippine Setting,2017,C &E Publishing ,1,
"Cayanan, Arthur S.",Business Finance,2017,Rex Book Store,1,
"Cayanan, Arthur S.",Business Finance ,2016,CHED,2,
                                                          Business Ethics,,,,,
"Geralde-Orjalo, Victoria","Business Ethics and Social Responsibility: Principles, Policies, Programs, and Practices",2016,Phoenix Publishing ,1,
"Zarate, Cynthia A.",Business Ethics and Social Responsibility,2018,C & E Publishing ,1,
                                                              Marketing,,,,,
"Zarate, Cynthia A.",Principles of Marketing,2017,C & E Publishing ,1,
"Ligaya, Emmanuel F.",Principles of Marketing,2017,Philippine Copyright ,1,
"Mendiola, Anna A.",Marketing for Beginners: The Principles of Marketing,2017,Phoenix Publishing ,1,
,Foundations of Marketing,2017,Abiva Publ.,1,
                                                         Business Mathematics,,,,,
"Alota, Romeo C.",Business Mathematics,2017,USC Press,1,
"Chua, Simon L.",Business Math: Soaring 21st Century Mathematics,2018,Phoenix Publ.,1,
"Timbang, Ferdinand L.",Business Mathematics,2019,C & E Publishing ,1,
"Bacani, Jerico B.",Business Mathematics,2017,C & E Publishing ,3,
"Blanco, Dante Rivera",Biz Math: Practical Approaches to Business Math for Today's Learners,2017,St. Bernadette Publishing ,1,
"Lim, Yvette F.",Business Mathematics,2016,Sibs Publishing ,1,
"Lopez-Mariano, Norma D.",Business Mathematics,2016,Rex Book Store,1,
"Rey, Mia P.",Business Mathematics,2016,CHED,2,
"Bacani, Jerico B.",Business Mathematics Answer Key,2017,C & E Publishing ,1,
"Santos, Durwin C.",Business Math,2015,Don Brosco Press,1,
"Lopez-Mariano, Norma D.",Business Mathematics: Teacher's Resource Material,2016,Rex Book Store,1,
                                                              Basic Calculus,,,,,
"Robles, Susan J.",Math Connections in the Digital Age: Basic Calculus,2016,Sibs Publishing ,3,
"Lim, Yvette",Basic Calculus,2016,Sibs Publishing ,1,
"Egarguin, Neil Jerome A.",Basic Calculus,2017,C & E Publishing ,1,
"Balmaceda, Jose Maria P.",Basic Calculus,2016,CHED,3,
,,,,,
,Applied Economics: An Introduction,2017,Abiva Publishing ,1,
"Habaradas, Raymund B.",Pathways to Entrepreneurship,2017,Phoenix Publishing ,1,
"Macatangay, Leah Alvino",Entrepreneurship,2015,Don Bosco Press,1,
"Aduana, Nick L.",Entrepreneurship in Philippine Setting,2016,C & E Publishing ,2,
,,,,,
"Gallo, Harold V.",Grammar Essentials: Creative Writing,2017,Sibs Publishing ,1,
"Villanueva, Martin V.",Narratives in and of the Mind: A Treatise on Creative Nonfiction,2016,Sibs Publishing ,2,
"Moratilla, Noel Christian A.","Claiming Spaces: Understanding, Reading, and Writing Creative Nonfiction",2016,Phoenix Publishing ,2,
"Ariola, Mariano M.",Creative Nonfiction,2018,Library Services & Publishing ,1,
"Biligan, Ramir Jimbert G.",Reinventing Life: A Workbook on Creative Nonfiction,2016,St. Augustine Publishing ,1,
"Aguila, Augusto Antonio A.",Telling the Truth: The Art of Creative Nonfiction,2017,C & E Publishing ,2,
"Sabanpan-Yu, Hope",The Art of Truth: A Comprehensive Worktext of Creative Nonfiction,2016,USC Press,1,
,,,,,
"Hermosa, Eleanor Eme E. ",Creative Writing: Young Filipino Writers For Younger Filipinos,2000,Sibs Publishing ,1,
"Cayanan, Mark Anthony R.","Fine Lines: Writing Poetry, Fiction, and Drama",2016,Sibs Publishing ,1,
"Aguila, Augusto Antonio A.",Wording the World: The Act of Creative Writing,2017,C & E Publishing ,2,
"Enricuso, Adonis Ramos",Way with Words: A Comprehensive Workbook in Creative Writing,2017,USC Press,1,
"Solmerano, Ernesto Thaddeus M.","Creative Writing, 1st ed.",2017,Fastbooks Educ. Supply,1,
,,,,,
"Ilag-Ramos, Maricel",Moving Up: A Guide to Personal and Career Development,2016,Phoenix Publishing ,2,
"Caparas, Maria Vida G.",Personal Development: Discovering the Key to Success,2018,Abiva Publishing ,1,
"Edrad, Mark David C.",A walk through adolescence,2016,St. Augustine Publishing ,1,
